zona,subzona,distrito,provincia,canton,coordenada_y,coordenada_x,area_hecho,lugar,tipo_lugar,presunta_motivacion,presun_motiva_observada,edad,sexo,etnia,estado_civil,nacionalidad,discapacidad,dia_semana,es_fin_semana,hora,franja_horaria,y
ZONA 7,EL ORO,HUAQUILLAS,EL ORO,ARENILLAS,-3.58374,-80.10135,RURAL,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,39,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,2,MADRUGADA,OTRAS
ZONA 4,MANABI,PORTOVIEJO,MANABI,PORTOVIEJO,-1.05618,-80.48572,RURAL,CASA/VILLA,PRIVADO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),20,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,0,0,5,MADRUGADA,ARMA_BLANCA
ZONA 5,GUAYAS,NARANJAL BALAO,GUAYAS,BALAO,-2.84307,-79.70311,URBANO,CASA/VILLA,PRIVADO,VIOLENCIA COMUNITARIA,RINAS,36,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,4,0,3,MADRUGADA,ARMA_CONTUNDENTE
ZONA 3,CHIMBORAZO,RIOBAMBA,CHIMBORAZO,RIOBAMBA,-1.69056,-78.63181,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),40,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,2,0,12,TARDE,OTRAS
ZONA 8,D.M. GUAYAQUIL,ESTEROS,GUAYAS,GUAYAQUIL,-2.24263,-79.92882,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,19,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,4,0,11,MANANA,ARMA_FUEGO
ZONA 8,D.M. GUAYAQUIL,PORTETE,GUAYAS,GUAYAQUIL,-2.2264962,-79.9409552,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,18,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,12,TARDE,ARMA_FUEGO
ZONA 5,LOS RIOS,VINCES,LOS RIOS,PALENQUE,-1.3644,-79.81852,RURAL,FINCA,PRIVADO,VIOLENCIA COMUNITARIA,RINAS,27,HOMBRE,MONTUBIO/A,SOLTERO,ECUADOR,NINGUNA,4,0,3,MADRUGADA,ARMA_BLANCA
ZONA 8,D.M. GUAYAQUIL,DURAN,GUAYAS,DURAN,-2.17643,-79.80576,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,30,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,5,MADRUGADA,ARMA_CONTUNDENTE
ZONA 8,D.M. GUAYAQUIL,PORTETE,GUAYAS,GUAYAQUIL,-2.22286,-79.92534,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,33,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,12,TARDE,ARMA_CONTUNDENTE
ZONA 1,CARCHI,TULCAN,CARCHI,TULCAN,0.83107,-77.7084,URBANO,HOSPITALES,PRIVADO,VIOLENCIA COMUNITARIA,RINAS,25,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,22,NOCHE,ARMA_CONTUNDENTE
ZONA 7,EL ORO,MACHALA,EL ORO,MACHALA,-3.2641,-79.96379,URBANO,CENTROS DE REHABILITACION SOCIAL,PRIVADO,DELINCUENCIA COMUN,AMENAZA,37,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,18,NOCHE,OTRAS
ZONA 5,GUAYAS,DAULE,GUAYAS,SANTA LUCIA,-1.7621,-79.92757,RURAL,TERRENO BALDIO,PUBLICO,DELINCUENCIA COMUN,AMENAZA,43,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,3,MADRUGADA,ARMA_BLANCA
ZONA 7,EL ORO,SANTA ROSA,EL ORO,SANTA ROSA,-3.45226,-79.968,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,TRAFICO INTERNO DE DROGAS (MICROTRAFICO),35,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,1,0,0,MADRUGADA,ARMA_BLANCA
ZONA 6,MORONA SANTIAGO,MORONA,MORONA SANTIAGO,MORONA,-2.18949,-78.07238,RURAL,FINCA,PRIVADO,VIOLENCIA INTRAFAMILIAR,MALTRATO,5,MUJER,INDIGENA,SOLTERO,ECUADOR,NINGUNA,5,1,4,MADRUGADA,ARMA_CONTUNDENTE
ZONA 6,AZUAY,GUALACEO,AZUAY,CHORDELEG,-2.93315,-78.77873,RURAL,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,LINCHAMIENTO,33,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,3,0,16,TARDE,ARMA_CONTUNDENTE
ZONA 5,LOS RIOS,VINCES,LOS RIOS,VINCES,-1.40883,-79.63134,RURAL,FINCA,PRIVADO,DELINCUENCIA COMUN,AMENAZA,22,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,10,MANANA,OTRAS
ZONA 8,D.M. GUAYAQUIL,DURAN,GUAYAS,DURAN,-2.17271446325504,-79.7991051524878,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,42,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,5,1,23,NOCHE,ARMA_FUEGO
ZONA 6,AZUAY,CUENCA SUR,AZUAY,CUENCA,-2.90725016304087,-79.07385756068828,RURAL,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,29,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,23,NOCHE,ARMA_FUEGO
ZONA 1,SUCUMBIOS,LAGO AGRIO,SUCUMBIOS,LAGO AGRIO,0.0809369999999999,-76.91156499999998,URBANO,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,29,HOMBRE,MESTIZO/A,EN UNION DE HECHO,COLOMBIA,NINGUNA,2,0,8,MANANA,ARMA_FUEGO
ZONA 6,AZUAY,CUENCA SUR,AZUAY,CUENCA,-2.92293,-79.06589,URBANO,CASA/VILLA,PRIVADO,VIOLENCIA COMUNITARIA,RINAS,37,HOMBRE,MESTIZO/A,DIVORCIADO,ECUADOR,NINGUNA,3,0,23,NOCHE,ARMA_BLANCA
ZONA 1,SUCUMBIOS,PUTUMAYO,SUCUMBIOS,PUTUMAYO,0.0836579999999999,-75.921363,RURAL,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,ROBO A PERSONAS,51,HOMBRE,MESTIZO/A,SOLTERO,COLOMBIA,NINGUNA,4,0,23,NOCHE,ARMA_FUEGO
ZONA 1,IMBABURA,TIERRA DEL SOL,IMBABURA,COTACACHI,0.30046,-78.26569,URBANO,CASA/VILLA,PRIVADO,VIOLENCIA INTRAFAMILIAR,SENTIMENTAL,51,MUJER,MESTIZO/A,DIVORCIADO,ECUADOR,NINGUNA,5,1,20,NOCHE,OTRAS
ZONA 5,GUAYAS,BALZAR,GUAYAS,BALZAR,-1.33775,-79.87788,RURAL,INTERIOR DE VEHICULO PARTICULAR,PRIVADO,DELINCUENCIA COMUN,AMENAZA,35,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,5,1,23,NOCHE,ARMA_FUEGO
ZONA 5,SANTA ELENA,LIBERTAD SALINAS,SANTA ELENA,SALINAS,-2.29732,-80.89431,RURAL,VIA PUBLICA,PUBLICO,DELINCUENCIA COMUN,AMENAZA,28,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,6,1,3,MADRUGADA,ARMA_CONTUNDENTE
ZONA 8,D.M. GUAYAQUIL,SUR - DMG,GUAYAS,GUAYAQUIL,-2.24327,-79.88331,URBANO,INTERIOR DE VEHICULO PARTICULAR,PRIVADO,DELINCUENCIA COMUN,AMENAZA,61,HOMBRE,MESTIZO/A,CASADO,ECUADOR,NINGUNA,1,0,16,TARDE,OTRAS
ZONA 9,D.M. QUITO,LA DELICIA,PICHINCHA,QUITO,-0.124500241858283,-78.46962591795089,URBANO,VIA PUBLICA,PUBLICO,VIOLENCIA COMUNITARIA,RINAS,32,HOMBRE,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,3,0,7,MANANA,ARMA_FUEGO
