modelo,accuracy_train,f1_train,accuracy_val,precision_macro_val,recall_macro_val,f1_macro_val,log_loss_val,gap_f1_train_val,tiempo_segundos
CatBoost Manual,0.9141935483870968,0.9079253982805456,0.6175710594315246,0.6165483667877821,0.6176724137931036,0.6104977758532457,0.9180107200844769,0.2974276224272999,56.51838390005287
CatBoost Default,0.9503225806451613,0.9472805335861616,0.6124031007751938,0.6036642934129254,0.611551724137931,0.6027188885704169,0.8991125721053159,0.3445616450157447,104.48590050009079
CatBoost RandomizedSearch,0.937741935483871,0.934510955257403,0.6046511627906976,0.6142374032684352,0.6059195402298851,0.5968280840553947,0.9119737675501032,0.33768287120200835,5787.488875800045
