modelo,accuracy_train,f1_train,accuracy_val,precision_macro_val,recall_macro_val,f1_macro_val,log_loss_val,gap_f1_train_val,epocas,tiempo_segundos
MLP RandomizedSearch,0.6947368421052632,0.6931126681936275,0.6118022328548645,0.6173209865227931,0.6108393018406104,0.6111221196131071,0.8938770155218655,0.08199054858052035,27,479.9074194999994
MLP Manual,0.7290498974709501,0.7284515398849308,0.6095693779904306,0.6122094048133759,0.6089935871443605,0.6091540981722834,0.9211700924933135,0.11929744171264745,35,9.147955799999181
MLP Default,0.9620642515379357,0.9619588804667287,0.5990430622009569,0.598472061135708,0.5988285591948463,0.5984974342540271,1.914367049178624,0.3634614462127016,200,30.372158299956936
